norm_title,composite_score,source_count,sources,example_title,example_url,category,status
airbytehqairbyte,0.8,1,github,airbytehq/airbyte,https://github.com/airbytehq/airbyte,analytics_engineering,RECURRING
coreyhaines31marketingskills,0.8,1,github,coreyhaines31/marketingskills,https://github.com/coreyhaines31/marketingskills,analytics_engineering,EVERGREEN
datatalksclubdataengineeringzoomcamp,0.8,1,github,DataTalksClub/data-engineering-zoomcamp,https://github.com/DataTalksClub/data-engineering-zoomcamp,analytics_engineering,EVERGREEN
langfuselangfuse,0.8,1,github,langfuse/langfuse,https://github.com/langfuse/langfuse,ai_analytics,EVERGREEN
mageaimageai,0.706,1,github,mage-ai/mage-ai,https://github.com/mage-ai/mage-ai,analytics_engineering,RECURRING
what social engineering attack,0.6636000000000001,1,trends,what is a social engineering attack,https://trends.google.com/trends/explore?q=what+is+a+social+engineering+attack,analytics_engineering,NEW / SPIKE
show hn capsule singlefile web apps that save their data into sqlite,0.5655,1,hn,Show HN: Capsule – Single-file web apps that save their data into SQLite,https://withcapsule.app/,analytics_engineering,EVERGREEN
dbtlabsdbt,0.5548000000000001,1,github,dbt-labs/dbt,https://github.com/dbt-labs/dbt,analytics_engineering,RECURRING
data engineering,0.36000000000000004,1,trends,data engineering,https://trends.google.com/trends/explore?q=data+engineering,analytics_engineering,EVERGREEN
power bi para que sirve,0.36,1,trends,power bi para que sirve,https://trends.google.com/trends/explore?q=power+bi+para+que+sirve,data_analytics,NEW / SPIKE
data analytics engineering,0.35940000000000005,1,trends,data analytics engineering,https://trends.google.com/trends/explore?q=data+analytics+engineering,analytics_engineering,RECURRING
data analytics,0.35940000000000005,1,trends,data analytics,https://trends.google.com/trends/explore?q=data+analytics,analytics_engineering,EVERGREEN
evidentlyaievidently,0.31716000000000005,1,github,evidentlyai/evidently,https://github.com/evidentlyai/evidently,analytics_engineering,NEW / SPIKE
evidencedevevidence,0.27799999999999997,1,github,evidence-dev/evidence,https://github.com/evidence-dev/evidence,analytics_engineering,NEW / SPIKE
clearmlclearml,0.27504,1,github,clearml/clearml,https://github.com/clearml/clearml,analytics_engineering,NEW / SPIKE
lightdashlightdash,0.24580000000000002,1,github,lightdash/lightdash,https://github.com/lightdash/lightdash,analytics_engineering,NEW / SPIKE
circular dependency detected power bi,0.24,1,trends,circular dependency detected power bi,https://trends.google.com/trends/explore?q=circular+dependency+detected+power+bi,data_analytics,RECURRING
infiniteparameter llms generating and adapting weights from live data,0.23399999999999999,1,hn,Infinite-Parameter LLMs: Generating and Adapting Weights from Live Data,https://arxiv.org/abs/2609.18842,analytics_engineering,RECURRING
langwatchlangwatch,0.19324,1,github,langwatch/langwatch,https://github.com/langwatch/langwatch,ai_analytics,NEW / SPIKE
xodbtpl,0.15584,1,github,xo/dbtpl,https://github.com/xo/dbtpl,analytics_engineering,NEW / SPIKE
argillaiodistilabel,0.1358,1,github,argilla-io/distilabel,https://github.com/argilla-io/distilabel,analytics_engineering,NEW / SPIKE
sqlmeshsqlmesh,0.13176000000000002,1,github,SQLMesh/sqlmesh,https://github.com/SQLMesh/sqlmesh,analytics_engineering,NEW / SPIKE
spiceaispiceai,0.12340000000000001,1,github,spiceai/spiceai,https://github.com/spiceai/spiceai,ai_analytics,NEW / SPIKE
what data pipeline,0.1182,1,trends,what is data pipeline,https://trends.google.com/trends/explore?q=what+is+data+pipeline,analytics_engineering,RECURRING
opensourced jev architecture last year with modelpaper and dataset,0.1095,1,hn,"Open-sourced jev architecture last year with model,paper and dataset",https://news.ycombinator.com/item?id=49736660,analytics_engineering,NEW / SPIKE
slothflowlabsduckle,0.1048,1,github,slothflowlabs/duckle,https://github.com/slothflowlabs/duckle,analytics_engineering,NEW / SPIKE
sodadatasodacore,0.09704000000000002,1,github,sodadata/soda-core,https://github.com/sodadata/soda-core,analytics_engineering,NEW / SPIKE
elementarydataelementary,0.0964,1,github,elementary-data/elementary,https://github.com/elementary-data/elementary,analytics_engineering,NEW / SPIKE
nvidiaaiblueprintsvideosearchandsummarization,0.0748,1,github,NVIDIA-AI-Blueprints/video-search-and-summarization,https://github.com/NVIDIA-AI-Blueprints/video-search-and-summarization,ai_analytics,NEW / SPIKE
dbtlabsdbtutils,0.07208,1,github,dbt-labs/dbt-utils,https://github.com/dbt-labs/dbt-utils,analytics_engineering,NEW / SPIKE
hiflylabsawesomedbt,0.06908,1,github,Hiflylabs/awesome-dbt,https://github.com/Hiflylabs/awesome-dbt,analytics_engineering,NEW / SPIKE
multiwovenmultiwoven,0.06696,1,github,Multiwoven/multiwoven,https://github.com/Multiwoven/multiwoven,analytics_engineering,NEW / SPIKE
kaelioktx,0.06392,1,github,Kaelio/ktx,https://github.com/Kaelio/ktx,ai_analytics,NEW / SPIKE
microsoft power bi,0.06,1,trends,microsoft power bi,https://trends.google.com/trends/explore?q=microsoft+power+bi,data_analytics,RECURRING
what data engineering,0.06,1,trends,what is data engineering,https://trends.google.com/trends/explore?q=what+is+data+engineering,analytics_engineering,RECURRING
what data analytics,0.06,1,trends,what is data analytics,https://trends.google.com/trends/explore?q=what+is+data+analytics,data_analytics,NEW / SPIKE
dashboard design ui,0.06,1,trends,dashboard design ui,https://trends.google.com/trends/explore?q=dashboard+design+ui,data_analytics,NEW / SPIKE
duckdbdbtduckdb,0.05416,1,github,duckdb/dbt-duckdb,https://github.com/duckdb/dbt-duckdb,analytics_engineering,NEW / SPIKE
data science,0.05279999999999999,1,trends,data science,https://trends.google.com/trends/explore?q=data+science,analytics_engineering,EVERGREEN
astronomerastronomercosmos,0.05056000000000001,1,github,astronomer/astronomer-cosmos,https://github.com/astronomer/astronomer-cosmos,analytics_engineering,NEW / SPIKE
best dashboard design,0.0504,1,trends,best dashboard design,https://trends.google.com/trends/explore?q=best+dashboard+design,data_analytics,NEW / SPIKE
data center engineering,0.048,1,trends,data center engineering,https://trends.google.com/trends/explore?q=data+center+engineering,analytics_engineering,NEW / SPIKE
data engineering jobs,0.0474,1,trends,data engineering jobs,https://trends.google.com/trends/explore?q=data+engineering+jobs,analytics_engineering,EVERGREEN
power bi desktop,0.045599999999999995,1,trends,power bi desktop,https://trends.google.com/trends/explore?q=power+bi+desktop,data_analytics,EVERGREEN
big data analytics,0.04259999999999999,1,trends,big data analytics,https://trends.google.com/trends/explore?q=big+data+analytics,data_analytics,NEW / SPIKE
